"指令",说明,描述
"LEAQ (x,y,z) dst",将dst=x+y*z,"一般用来操作指针，刚开始设计主要用来操作数组，后面一些加减也可以用这个指令优化"
"XORL src, dst",将dst=src^dst,"将dst和src进行亦或，并将结果存储在dst中"
